date|team|acquired|relinquished|notes
2005-02-24|Suns|Phil Weber||re-signed as assistant coach to a 2-year contract extension
2005-03-02|Blazers||Maurice Cheeks|fired as head coach
2005-03-02|Blazers|Kevin Pritchard||hired as interim head coach in addition to director of player personnel
2005-03-16|Magic||Ron Ekker|fired as assistant coach
2005-03-16|Magic||Johnny Davis|fired as head coach
2005-03-16|Magic|Chris Jent||promoted to interim head coach
2005-03-19|Mavericks||Don Nelson|resigned as head coach
2005-03-19|Mavericks|Avery Johnson||promoted to head coach
2005-03-21|Cavaliers||Stephen Silas|fired as assistant coach
2005-03-21|Cavaliers||Paul Silas|fired as head coach
2005-03-21|Cavaliers|Brendan Malone||promoted to interim head coach
2005-03-22|Cavaliers|Mike Bratz||hired as assistant coach
2005-03-24|Cavaliers|Wes Wilcox||hired as assistant coach
2005-04-09|Mavericks|Avery Johnson||re-signed as head coach to a 4-year, $10M contract (starting next season)
2005-04-21|Cavaliers||Brendan Malone|fired as interim head coach
2005-05-06|Bucks||Mike Schuler|fired as assistant coach
2005-05-06|Bucks||Jerome Kersey|fired as assistant coach
2005-05-12|Jazz|Jerry Sloan||re-signed as head coach to a contract extension through 2007-08
2005-05-18|Rockets|Jeff Van Gundy||re-signed as head coach to a contract extension through 2007-08
2005-05-23|76ers||Jim O'Brien|fired as head coach
2005-05-23|76ers|Maurice Cheeks||hired as head coach
2005-05-24|Magic|Brian Hill||hired as head coach
2005-05-31|Bucks||Jim Boylen|resigned as assistant coach
2005-06-01|Cavaliers|Mike Brown (c)||hired as head coach, signed to a reported 4-year, $10M contract
2005-06-07|Bucks|Mike Sanders||hired as assistant coach
2005-06-07|Bulls|Scott Skiles||agreed to re-sign as head coach to a 4-year, reported $16.5M contract extension
2005-06-07|Pacers|Chuck Person||hired as assistant coach
2005-06-09|Cavaliers|Hank Egan||hired as assistant coach
2005-06-09|Nets|Gordon Chiesa||hired as assistant coach
2005-06-10|Magic|Tom Sterner||hired as assistant coach
2005-06-10|Magic|Randy Ayers||hired as assistant coach
2005-06-14|Lakers|Phil Jackson||hired as head coach, signed to a reported 3-year contract
2005-06-15|Bulls|Scott Skiles||formally re-signed as head coach to a 4-year, reported $16.5M contract extension
2005-06-17|Timberwolves||Kevin McHale|replaced as head coach (retained position of VP of basketball operations)
2005-06-17|Timberwolves|Dwane Casey||hired as head coach, signed to a 5-year contract (3 years guaranteed)
2005-06-20|76ers|John Kuester||hired as assistant coach
2005-06-22|Bucks||Terry Porter (b)|fired as head coach
2005-06-29|Suns|Dan D'Antoni||hired as assistant coach
2005-07-01|Grizzlies|Scott Adubato||hired as assistant coach
2005-07-01|Sonics||Nate McMillan|contract as head coach expired
2005-07-05|Magic|Morlon Wiley||hired as assistant coach / player development
2005-07-05|Magic|Mark Bryant||hired as assistant coach / player development
2005-07-05|Magic|Randy Wittman||hired as assistant coach
2005-07-06|Blazers||Kevin Pritchard|replaced as interim head coach
2005-07-06|Blazers|Nate McMillan||hired as head coach
2005-07-06|Jazz|Scott Layden||hired as assistant coach
2005-07-08|Bucks|Terry Stotts||hired as head coach, signed to a multi-year contract
2005-07-18|Sonics|Bob Weiss||promoted to head coach, signed to a 3-year contract
2005-07-18|Spurs|Chip Engelland||hired as assistant coach
2005-07-19|Pistons||Larry Brown|fired as head coach (team paid $6M buyout)
2005-07-20|76ers|John Loyer||hired as assistant coach
2005-07-20|76ers|Bernard Smith||hired as assistant coach
2005-07-20|76ers|Jim Lynam||hired as assistant coach
2005-07-20|Bucks|Brian James||hired as assistant coach to a multi-year contract
2005-07-20|Pistons|Phil Saunders / Flip Saunders||hired as head coach, signed to a 4-year, estimated $20M contract
2005-07-21|Blazers|Dean Demopoulos||hired as assistant coach
2005-07-23|Timberwolves|Johnny Davis||hired as assistant coach
2005-07-25|Bucks|Lester Conner||hired as assistant coach
2005-07-28|Knicks|Larry Brown||hired as head coach, signed to a reported 5-year, $50-60M contract (4-year, $32M contract per P)
2005-07-29|Nets|Bob Thate||hired as shooting coach
2005-07-29|Nets|Pat Sullivan||hired as assistant coach
2005-08-01|Blazers|Maurice Lucas||hired as assistant coach
2005-08-01|Sonics|Walt Rock||promoted from video coordinator and special assignments coach to assistant coach and director of video scouting
2005-08-01|Sonics|Jack Sikma||re-signed as assistant coach to a 3-year contract extension
2005-08-05|Blazers|Monty Williams||hired as assistant coach
2005-08-11|Timberwolves||Don Zierden|resigned as assistant coach (date approximate)
2005-08-11|Timberwolves||Sidney Lowe|resigned as assistant coach (date approximate)
2005-08-12|Pistons|Don Zierden||hired as assistant coach
2005-08-12|Pistons|Igor Stefan Kokoskov / Igor Kokoskov||re-signed as assistant coach
2005-08-12|Pistons|Sidney Lowe||hired as assistant coach
2005-08-19|Cavaliers|Kenny Natt||re-signed as assistant coach
2005-08-24|Kings|Daniel Shapiro||hired as strength and conditioning coach
2005-08-25|Suns|Mike D'Antoni||re-signed as head coach to a 2-year contract extension through 2008-09
2005-08-26|Mavericks|Joe Prunty||hired as assistant coach
2005-08-26|Mavericks|Rolando Blackman||hired as assistant coach
2005-08-26|Sonics|Bob Hill||hired as assistant coach
2005-08-26|Sonics|Ralph Lewis||hired as assistant coach
2005-08-29|Lakers|Frank Hamblen||demoted to assistant coach
2005-08-29|Lakers|Brian Shaw||re-signed as assistant coach
2005-08-29|Lakers|Kurt Rambis||re-signed as assistant coach
2005-08-31|Pacers|Shawn Windle||hired as strength and conditioning coach and assistant trainer
2005-09-02|Lakers|Kareem Abdul-Jabbar / Lew Alcindor||hired as special assistant coach
2005-09-10|Blazers|Bob Burke||hired as assistant coach
2005-09-12|Warriors|John MacLeod||hired as assistant coach
2005-09-13|Cavaliers|Melvin Hunt||hired as assistant coach
2005-09-13|Cavaliers|Michael Malone / Mike Malone||hired as assistant coach
2005-09-15|Timberwolves|Aleksandar Dzikic||hired as assistant coach
2005-09-15|Timberwolves|Brent Haskins||promoted to assistant coach / advance scout
2005-09-15|Timberwolves|Bob Thornton||hired as assistant coach
2005-09-15|Timberwolves|Rex Kalamian||hired as assistant coach
2005-09-15|Timberwolves|Vince Taylor||hired as assistant coach
2005-09-21|Lakers|Craig Hodges||hired as special assistant coach
2005-09-26|Pistons|Ron Harper||hired as assistant coach
2005-09-27|Knicks|Dave Hanners||hired as assistant coach
2005-09-27|Knicks|Phil Ford||hired as assistant coach
2005-10-01|Hornets|David Miller||hired as assistant coach
2005-10-03|Knicks|Brendan O'Connor||hired as assistant coach
2005-10-04|Blazers||Tim Grgurich|resigned as assistant coach (date approximate)
2005-10-04|Nuggets|Tim Grgurich||hired as assistant coach
2005-10-04|Blazers|Blazers option to swap 2011 or 2012 second round picks with Nuggets (not exercised)|Blazers option to swap 2011 or 2012 second round picks with Nuggets (not exercised)|compensation for assistant coach Tim Grgurich
2005-10-04|Nuggets|Blazers option to swap 2011 or 2012 second round picks with Nuggets (not exercised)|Blazers option to swap 2011 or 2012 second round picks with Nuggets (not exercised)|compensation for assistant coach Tim Grgurich
2005-10-06|Pistons|Bill Pope||promoted to assistant coach / advance scout
2005-10-06|Pistons|Paul Rivers||hired as assistant coach and video coordinator
2005-10-28|Rockets|Charlie Ward||hired as assistant coach
2005-10-31|Nets||Gordon Chiesa|resigned as assistant coach
2005-11-15|Nets|Jim Sann / Jimmy Sann||hired as assistant coach (associate coach per E, coaching associate per SN)
2005-12-09|Raptors|Gene Keady||hired as assistant coach
2005-12-12|Heat||Stan Van Gundy|resigned as head coach
2005-12-12|Heat|Pat Riley||hired as interim head coach (in addition to team president)
2006-01-03|76ers||Jim Lynam|resigned as assistant coach
2006-01-03|Sonics||Bob Weiss|fired as head coach
2006-01-03|Sonics|Bob Hill||promoted to head coach
2006-01-17|76ers|Henry Bibby||hired as assistant coach for the remainder of the season
2006-01-20|Sonics|Detlef Schrempf||hired as assistant coach
2006-03-10|Suns|Mike D'Antoni||re-signed as head coach to a 1-year contract extension through 2009-10 and hired as VP of basketball operations & GM
2006-04-17|Sonics|Bob Hill||team exercised contract option on head coach for 2006-07
2006-05-07|Pistons||Sidney Lowe|resigned as assistant coach (effective at end of season)
2006-05-09|Kings||Bubba Burrage|fired as assistant coach / advance NBA scout
2006-05-09|Kings||Elston Turner|fired as assistant coach
2006-05-09|Kings||Pete Carril|fired as assistant coach
2006-05-09|Kings||Rick Adelman|fired as head coach
2006-05-09|Kings||T.R. Dunn|fired as assistant coach
2006-05-19|Raptors||Gene Keady|fired as assistant coach
2006-05-21|Sonics|Detlef Schrempf||hired as assistant coach
2006-05-22|Timberwolves|Randy Wittman||hired as assistant coach
2006-05-25|Cavaliers|Mike Brown (c)||team exercised contract option on head coach through 2008-09
2006-06-02|Kings|Eric Musselman||hired as head coach
2006-06-06|Nets|Lawrence Frank||team exercised contract option on head coach for 2007-08
2006-06-07|Sonics|Gordon Chiesa||hired as assistant coach
2006-06-22|Bucks|Larry Krystkowiak||hired as assistant coach
2006-06-22|Knicks||Larry Brown|fired as head coach
2006-06-22|Knicks|Isiah Thomas||hired as head coach (in addition to president of basketball operations)
2006-06-23|Kings|Brendan O'Connor||hired as assistant coach
2006-06-23|Kings|Jason Hamm||hired as assistant coach
2006-06-23|Kings|Mark Hughes||hired as assistant coach
2006-06-23|Kings|Scott Brooks||hired as assistant coach
2006-06-23|Kings|T.R. Dunn||hired as assistant coach
2006-06-27|Hornets|Byron Scott||re-signed as head coach to a 3-year contract extension through 2008-09
2006-07-01|Bulls||John Bach / Johnny Bach|replaced as assistant coach
2006-07-06|Magic|John Kuester||hired as assistant coach
2006-07-06|Suns|Todd Quinter||promoted to assistant coach and director of scouting
2006-07-15|Wizards|Eddie Jordan||re-signed as head coach to a 3-year, $12M contract extension through 2009-10
2006-07-18|Lakers|Jim Cleamons||hired as assistant coach
2006-08-23|Bulls|Michael Irr||hired as assistant strength coach
2006-08-23|Heat|Pat Riley||re-signed as head coach for 2006-07
2006-08-23|Pistons|Terry Porter (b)||hired as assistant coach
2006-08-29|Pacers|Johnny Davis||hired as assistant coach
2006-08-29|Pacers|Leonard Perry||hired as assistant coach
2006-08-29|Warriors||Mike Montgomery|fired as head coach
2006-08-30|Rockets||Patrick Ewing Sr.|resigned as assistant coach
2006-08-30|Warriors|Don Nelson||hired as head coach
2006-08-31|Mavericks|Sam Vincent||hired as assistant coach
2006-09-01|Warriors|Larry Riley||hired as assistant coach
2006-09-07|Wizards|Bill Berry||promoted to assistant coach (was advance scout)
2006-09-11|Celtics|Kevin Eastman||hired as assistant coach
2006-09-12|Pistons|Dave Cowens||hired as assistant coach
2006-09-14|Nets|Ryan Krueger||promoted to assistant coach
2006-09-14|Timberwolves|Bob Ociepka||hired as assistant coach
2006-09-14|Timberwolves|Dave Vitel||hired as strength & conditioning coach
2006-09-14|Warriors|Stephen Silas||hired as assistant coach
2006-09-28|76ers|Jim Lynam||hired as assistant coach
2006-09-28|76ers|Moses Malone||hired as assistant coach
2006-10-05|Pacers|Rick Carlisle||re-signed as head coach to a multi-year contract extension and promoted to VP of basketball operations
2006-10-10|Nuggets|George Karl||team exercised contract option on head coach through 2009-10
2006-10-12|Mavericks|Avery Johnson||re-signed as head coach to a 5-year, $20M contract (plus incentives) through 2010-11
2006-10-26|Wizards|Mike O'Koren||promoted to associate head coach
2006-11-01|Cavaliers|Chris Jent||hired as assistant coach & director of player development
2006-12-13|Clippers|Mike Dunleavy Sr.||re-signed as head coach to a 4-year, $22M contract extension through 2010-11
2006-12-28|Grizzlies||Mike Fratello|fired as as head coach
2006-12-28|Grizzlies|Tony Barone||hired as interim head coach (in addition to director of player personnel)
2006-12-29|Grizzlies|Tony Barone||hired as interim head coach for the remainder of the season
2007-01-03|Heat|Ron Rothstein||promoted to interim head coach
2007-01-23|Timberwolves||Dwane Casey|fired as head coach
2007-01-23|Timberwolves|Randy Wittman||promoted to interim head coach
2007-03-12|Knicks|Isiah Thomas||re-signed as president & head coach to a reported 3-year contract extension
2007-03-13|Bobcats||Bernie Bickerstaff|resigned as head coach (effective at end of season)
2007-03-14|Bucks||Terry Stotts|fired as head coach
2007-03-14|Bucks|Larry Krystkowiak||promoted to head coach, signed to a reported 4-year contract
2007-04-20|Kings||Eric Musselman|fired as head coach
2007-04-24|Sonics||Bob Hill|fired as head coach
2007-04-25|Pacers||Rick Carlisle|fired as head coach
2007-04-26|Bucks||Mike Sanders|fired as assistant coach
2007-05-10|Celtics|Glenn Rivers / Doc Rivers||re-signed as head coach to a 1-year contract extension
2007-05-18|Rockets||Jeff Van Gundy|fired as head coach
2007-05-22|Raptors|Sam Mitchell||re-signed as head coach to a 3-year contract with a 1-year team option
2007-05-22|Rockets|Rick Adelman||hired as head coach
2007-05-23|Magic||Brian Hill|fired as head coach
2007-05-23|Timberwolves|Randy Wittman||re-signed as head coach to a reported 3-year contract
2007-05-25|Bobcats|Sam Vincent||hired as head coach
2007-05-31|Grizzlies|Marc Iavaroni||hired as head coach
2007-05-31|Magic|Billy Donovan||hired as head coach
2007-05-31|Pacers|Jim O'Brien||hired as head coach
2007-06-05|Bucks|Tony Brown||hired as assistant coach
2007-06-06|Magic||Billy Donovan|resigned as head coach
2007-06-07|Bobcats|Jason Capel||(re-?)signed as assistant coach
2007-06-07|Bobcats|Lee Rose||hired as assistant coach
2007-06-07|Bobcats|Phil Ford||hired as assistant coach
2007-06-07|Magic|Stan Van Gundy||hired as head coach. signed to a reported 4-year, $16M contract
2007-06-07|Magic|||sent to Heat as compensation for head coach Stan Van Gundy
2007-06-07|Heat|||received from Magic as compensation for head coach Stan Van Gundy
2007-06-08|Timberwolves|Jerry Sichting||hired as assistant coach
2007-06-11|Hornets|Charlie Parker||hired as assistant coach
2007-06-11|Raptors|Jay Triano||re-signed as assistant coach
2007-06-11|Raptors|Alex English||re-signed as assistant coach
2007-06-11|Raptors|Mike Evans||hired as assistant coach
2007-06-11|Wizards||Tom Young|retired as assistant coach
2007-06-13|Bobcats|Paul Mokeski||hired as assistant coach
2007-06-13|Bucks|Jim Todd||hired as assistant coach
2007-06-13|Pacers|Dick Harter||hired as assistant coach
2007-06-13|Pacers|Jay DeFruscio||hired as assistant coach
2007-06-13|Pacers|Lester Conner||hired as assistant coach
2007-06-13|Pacers|Dan Burke||hired as assistant coach
2007-06-13|Pacers|Frank Vogel||hired as assistant coach
2007-06-18|Bobcats|Dell Curry||hired as assistant coach
2007-06-19|Kings|Reggie Theus||hired as head coach
2007-06-19|Rockets|Elston Turner||hired as assistant coach
2007-06-19|Rockets|Jack Sikma||hired as assistant coach
2007-06-19|Rockets|R.J. Adelman||hired as assistant coach
2007-06-19|Rockets|T.R. Dunn||hired as assistant coach
2007-06-19|Timberwolves|John-Blair Bickerstaff / J.B. Bickerstaff||hired as assistant coach
2007-06-22|Grizzlies|Dave Joerger||hired as assistant coach
2007-06-22|Grizzlies|Gordon Chiesa||hired as assistant coach
2007-06-22|Grizzlies|Johnny Davis||hired as assistant coach
2007-06-28|Mavericks|Paul Westphal||hired as assistant coach
2007-06-29|Pistons|Michael Curry||hired as assistant coach
2007-07-02|Grizzlies|Andy Greer||hired as assistant coach
2007-07-02|Hornets|Paul Pressey||hired as assistant coach
2007-07-03|Kings||Brendan O'Connor|fired as assistant coach
2007-07-03|Kings||Clay Moser|fired as assistant coach
2007-07-03|Kings||Mark Hughes|fired as assistant coach
2007-07-03|Kings||Scott Brooks|fired as assistant coach
2007-07-03|Magic|Patrick Ewing Sr.||hired as assistant coach
2007-07-03|Magic|Bob Beyer||hired as assistant coach
2007-07-03|Magic|Brendan Malone||hired as assistant coach
2007-07-03|Magic|Steve Clifford||hired as assistant coach
2007-07-03|Wizards|Tom Thibodeau||hired as assistant coach
2007-07-04|Spurs||P.J. Carlesimo|resigned as assistant coach (date approximate)
2007-07-05|Sonics|P.J. Carlesimo||hired as head coach
2007-07-06|Wizards|Mike O'Koren||re-signed as assistant coach to a contract extension
2007-07-06|Wizards|Phil Hubbard||re-signed as assistant coach to a contract extension
2007-07-06|Wizards|Wes Unseld Jr.||re-signed as assistant coach to a contract extension
2007-07-07|Kings|Kenny Natt||hired as assistant coach
2007-07-07|Wizards||Tom Thibodeau|resigned as assistant coach
2007-07-23|Nets|Lawrence Frank||re-signed as head coach to a 2-year contract extension through 2009-10
2007-07-24|Wizards|Randy Ayers||hired as assistant coach
2007-07-30|Suns|Jay Humphries||hired as assistant coach
2007-08-02|Nets|Brian Hill||hired as assistant coach
2007-08-14|Cavaliers|John Kuester||hired as assistant coach
2007-08-22|Hawks|Alton Lister||hired as assistant coach
2007-08-22|Wizards|Dave Hopla||hired as assistant coach
2007-08-24|Sonics|Mark Bryant||hired as assistant coach
2007-08-24|Sonics|Ralph Lewis||hired as assistant coach
2007-08-24|Sonics|Scott Brooks||hired as assistant coach
2007-08-29|Kings|Rex Kalamian||hired as assistant coach
2007-08-30|Celtics|Tom Thibodeau||hired as assistant coach
2007-09-12|Raptors|Eric Hughes||hired as assistant coach
2007-09-15|Bucks|Jarrin Akana||hired as assistant coach for player development
2007-09-16|Warriors|Don Nelson||re-signed as head coach to a new 2-year, ~$7M contract with a 1-year team option
2007-09-21|Timberwolves|Ed Pinckney||hired as assistant coach
2007-09-25|Bobcats||Dell Curry|resigned as assistant coach (but remained with team)
2007-09-25|Bobcats|Mike Sanders||hired as assistant coach
2007-09-27|Sonics|Paul Westhead||hired as assistant coach
2007-09-28|Mavericks|Mario Elie||hired as assistant coach
2007-10-02|Warriors|Sidney Moncrief||hired as shooting coach
2007-10-03|76ers|Aaron McKie||hired as assistant coach
2007-11-26|Nuggets|Stacey Augmon||hired as player development coach
2007-11-29|Lakers|Phil Jackson||re-signed as head coach to a 2-year, $24M contract extension through 2009-10 (1-year contract with 1-year option per ESPN, SN)
2007-12-03|Jazz|Jerry Sloan||re-signed as head coach to a 1-year contract extension through 2008-09
2007-12-04|Timberwolves|Jerry Sichting||promoted to interim head coach
2007-12-10|Timberwolves|Jerry Sichting||returned to assistant coach
2007-12-24|Bulls||Scott Skiles|fired as head coach
2007-12-27|Bulls|Jim Boylan||promoted to interim head coach for the remainder of the season
2008-01-14|Cavaliers|Mike Brown (c)||re-signed as head coach to a 2-year contract extension through 2010-11
2008-01-30|Bulls|Mike Brown (b)||hired as assistant coach
2008-02-01|76ers||Aaron McKie|resigned as assistant coach
2008-02-20|76ers|Maurice Cheeks||re-signed as head coach to a 1-year contract extension through 2008-09
2008-03-11|Warriors|Don Nelson||team exercised contract option on head coach for 2008-09
2008-04-17|Bucks||Larry Krystkowiak|fired as head coach
2008-04-17|Bulls||Jim Boylan|fired as interim head coach
2008-04-18|Knicks||Isiah Thomas|fired as head coach / president of basketball operations
2008-04-21|Bucks|Scott Skiles||hired as head coach
2008-04-26|Bobcats||Sam Vincent|fired as head coach
2008-04-28|Heat||Pat Riley|resigned as head coach (remained as president)
2008-04-28|Heat|Erik Spoelstra||promoted to head coach
2008-04-29|Bobcats|Larry Brown||hired as head coach
2008-04-30|Mavericks||Avery Johnson|fired as head coach
2008-05-10|Mavericks|Rick Carlisle||hired as head coach, signed to a reported 4-year, $17.5M contract
2008-05-13|Knicks|Mike D'Antoni||hired as head coach, signed to a reported 4-year, $24M contract
2008-05-14|Bucks|Bill Peterson||re-signed as assistant coach
2008-05-14|Bucks|Joe Wolf||hired as assistant coach
2008-05-14|Bucks|Jim Boylan||hired as assistant coach
2008-05-14|Bucks|Kelvin Sampson||hired as assistant coach
2008-05-14|Bucks|Lionel Hollins||hired as assistant coach
2008-05-15|Bucks||Mike Schuler|fired as assistant coach
2008-05-15|Bucks||Jerome Kersey|fired as assistant coach
2008-05-28|Hornets|Byron Scott||re-signed as head coach to a 3-year contract extension through 2009-10
2008-05-28|Spurs|Gregg Popovich||re-signed as head coach to a contract extension through 2011-12
2008-06-03|Pistons||Phil Saunders / Flip Saunders|fired as head coach
2008-06-04|Bobcats|Dave Hanners||hired as assistant coach
2008-06-04|Bobcats|Jeff Capel||re-signed as assistant coach
2008-06-04|Bobcats|LaSalle Thompson||hired as strength and conditioning coach
2008-06-04|Bobcats|Phil Ford||re-signed as assistant coach
2008-06-07|Suns|Terry Porter (b)||hired as head coach, signed to a reported 3-year, $7M contract
2008-06-09|Pistons|Michael Curry||promoted to head coach, signed to a reported 3-year, $7.5M contract
2008-06-10|Bulls|Vinny Del Negro||hired as head coach
2008-06-13|Hawks|Mike Woodson||re-signed as head coach to a 2-year contract extension through 2009-10
2008-06-13|Heat|David Fizdale||hired as assistant coach
2008-06-18|Grizzlies|Kevin O'Neill||hired as assistant coach
2008-06-20|Knicks|Dan D'Antoni||hired as assistant coach
2008-06-20|Knicks|Herb Williams||hired as assistant coach
2008-06-20|Knicks|Phil Weber||hired as assistant coach
2008-06-20|Suns|Alvin Gentry||hired as assistant coach
2008-06-20|Suns|Dan Majerle||hired as assistant coach
2008-06-20|Suns|Bill Cartwright||hired as assistant coach
2008-06-20|Suns|Igor Stefan Kokoskov / Igor Kokoskov||hired as assistant coach
2008-06-21|Pistons|Dave Cowens||hired as assistant coach
2008-06-21|Pistons|Darrell Walker||hired as assistant coach
2008-06-21|Pistons|Harold Ellis||hired as assistant coach
2008-06-21|Pistons|Pat Sullivan||hired as assistant coach
2008-06-23|Nets|Doug Overton||hired as assistant coach
2008-07-03|Bulls|Bob Ociepka||hired as assistant coach
2008-07-03|Bulls|Bernie Bickerstaff||hired as assistant coach
2008-07-03|Bulls|Del Harris||hired as assistant coach
2008-07-07|Blazers|Joe Prunty||hired as assistant coach
2008-07-07|Bobcats|Herb Brown||hired as assistant coach
2008-07-12|Raptors|Gord Herbert||hired as assistant coach
2008-07-16|Hawks|Jim Todd||hired as assistant coach
2008-07-16|Hawks|Tyrone Hill||hired as assistant coach
2008-07-25|Heat|Chad Kammerer||hired as assistant coach
2008-07-30|Nets|Roy Rogers||hired as assistant coach
2008-07-31|Timberwolves|Dean Cooper||hired as assistant coach
2008-08-06|Knicks|Kenny Atkinson||hired as assistant coach
2008-08-25|Clippers|Fred Vinson||hired as assistant coach and director of player programs
2008-09-02|Mavericks|Mario Elie||hired as assistant coach
2008-09-02|Mavericks|Tom Sterner||hired as assistant coach
2008-09-02|Mavericks|Dwane Casey||hired as assistant coach
2008-09-02|Mavericks|Terry Stotts||hired as assistant coach
2008-09-09|76ers|Maurice Cheeks||re-signed as head coach to a 1-year contract extension through 2010
2008-09-10|Celtics|Glenn Rivers / Doc Rivers||re-signed as head coach to a 3-year, $16M contract extension through 2010-11
2008-09-22|Wizards|Eddie Jordan||team exercised contract option on head coach through 2009-10
2008-09-27|Bobcats|LaSalle Thompson||promoted to assistant coach
2008-09-30|76ers|Aaron McKie||hired as assistant coach
2008-10-01|Kings|Shareef Abdur-Rahim||hired as assistant coach
2008-10-07|Clippers|Mike Dunleavy Sr.||hired as GM (in addition to head coach)
2008-10-29|Warriors|Don Nelson||re-signed as head coach to a 2-year contract extension through 2010-11
2008-11-11|Warriors|Larry Harris||hired as assistant coach
2008-11-21|Thunder||P.J. Carlesimo|fired as head coach
2008-11-21|Thunder|Scott Brooks||promoted to interim head coach
2008-11-22|Thunder||Paul Westhead|fired as assistant coach
2008-11-24|Wizards||Mike O'Koren|fired as assistant coach
2008-11-24|Wizards||Eddie Jordan|fired as head coach
2008-11-24|Wizards|Ed Tapscott||hired as interim head coach
2008-12-03|Raptors||Sam Mitchell|fired as head coach
2008-12-03|Raptors|Jay Triano||promoted to interim head coach
2008-12-07|Timberwolves||Randy Wittman|fired as head coach
2008-12-07|Timberwolves|Kevin McHale||hired as head coach
2008-12-13|76ers||Maurice Cheeks|fired as head coach
2008-12-13|76ers|Tony DiLeo||hired as interim head coach for the remainder of the season (in addition to senior VP and assistant GM)
2008-12-15|Kings||Chuck Person|fired as assistant coach
2008-12-15|Kings||Reggie Theus|fired as head coach
2008-12-15|Kings|Kenny Natt||promoted to interim head coach
2008-12-30|Thunder|Ron Adams||hired as assistant coach
2009-01-18|Jazz|Jerry Sloan||re-signed as head coach to a 1-year contract extension through 2009-10
2009-01-22|Grizzlies||Marc Iavaroni|fired as head coach
2009-01-22|Grizzlies|Johnny Davis||promoted to interim head coach
2009-01-25|Grizzlies|Lionel Hollins||hired as head coach
2009-01-27|Grizzlies||Ron DuBois|fired as assistant coach
2009-01-27|Grizzlies||Andy Greer|fired as assistant coach
2009-01-27|Grizzlies|Barry Hecker||hired as assistant coach
2009-02-06|Grizzlies|Damon Stoudamire||hired as assistant coach
2009-02-06|Grizzlies|Henry Bibby||hired as assistant coach
2009-02-16|Suns||Terry Porter (b)|fired as head coach
2009-02-16|Suns|Alvin Gentry||promoted to interim head coach
2009-04-17|Wizards||Ed Tapscott|fired as interim head coach (remained with the organization)
2009-04-22|Wizards|Phil Saunders / Flip Saunders||hired as head coach, signed to a 4-year, $18M contract
2009-04-23|Kings||Bubba Burrage|fired as assistant coach
2009-04-23|Kings||Jason Hamm|fired as assistant coach
2009-04-23|Kings||Kenny Natt|fired as interim head coach
2009-04-23|Kings||Randy Brown|fired as assistant coach
2009-04-23|Kings||Rex Kalamian|fired as assistant coach
2009-05-11|76ers||Tony DiLeo|resigned as interim head coach (remained as senior VP and assistant GM)
2009-05-11|Raptors|Jay Triano||promoted to head coach, signed to a 3-year contract
2009-05-21|Wizards||Phil Hubbard|fired as assistant coach
2009-05-21|Wizards||Randy Ayers|fired as assistant coach
2009-05-21|Wizards|Sam Cassell||hired as assistant coach
2009-05-21|Wizards|Randy Wittman||hired as assistant coach
2009-06-01|76ers|Eddie Jordan||hired as head coach, signed to a 3-year contract
2009-06-02|Bulls||Del Harris|retired as assistant coach
2009-06-03|Wizards|Don Zierden||hired as assistant coach
2009-06-05|Raptors||Gord Herbert|fired as assistant coach
2009-06-05|Raptors||Mike Evans|fired as assistant coach
2009-06-05|Raptors|Alex English||re-signed as assistant coach
2009-06-05|Raptors|Marc Iavaroni||hired as assistant coach
2009-06-07|Hornets||Kenny Gattison|resigned as assistant coach
2009-06-10|Kings|Paul Westphal||hired as head coach, signed to a 2-year, $3M contract with a 1-year team option
2009-06-17|Timberwolves||Kevin McHale|fired as head coach
2009-06-22|Kings|Jim Eyen||hired as assistant coach
2009-06-22|Kings|Mario Elie||hired as assistant coach
2009-06-22|Kings|Leonard Robinson / Truck Robinson||hired as assistant coach
2009-06-22|Kings|Pete Carril||re-signed as assistant coach
2009-06-30|Pistons||Michael Curry|fired as head coach
2009-07-01|76ers|Mike O'Koren||hired as associate head coach
2009-07-01|76ers|Aaron McKie||re-signed as assistant coach
2009-07-01|76ers|Jim Lynam||re-signed as assistant coach
2009-07-01|Raptors|Francesco Cuzzolin||hired as assistant coach
2009-07-01|Raptors|Alvin Williams||hired as assistant coach
2009-07-01|Raptors|Eric Hughes||re-signed as assistant coach
2009-07-08|Cavaliers||John Kuester|resigned as assistant coach (date approximate)
2009-07-09|Pistons|John Kuester||hired as head coach
2009-07-10|Blazers|Nate McMillan||team exercised contract option on head coach through 2010-11
2009-07-11|Clippers|Tony Brown||hired as assistant coach
2009-08-04|76ers|Randy Ayers||hired as assistant coach
2009-08-06|Hornets|Robert Pack||hired as assistant coach
2009-08-09|Pistons|Brian Hill||hired as assistant coach
2009-08-09|Timberwolves|Kurt Rambis||hired as head coach
2009-08-13|Thunder|Maurice Cheeks||hired as assistant coach
2009-08-13|Thunder|Rex Kalamian||hired as assistant coach
2009-08-24|Suns|John Shumate||hired as assistant coach
2009-09-03|Nets|John Loyer||hired as assistant coach
2009-09-03|Timberwolves|Bill Laimbeer||hired as assistant coach
2009-09-03|Timberwolves|Dave Wohl||hired as assistant coach
2009-09-03|Timberwolves|John-Blair Bickerstaff / J.B. Bickerstaff||hired as assistant coach
2009-09-03|Timberwolves|Reggie Theus||hired as assistant coach
2009-09-18|Clippers|John Lucas Sr.||hired as assistant coach
