date|team|acquired|relinquished|notes
1991-06-07|Whalers|Jim Roberts / Jimmy Roberts (W.)||hired as head coach
1991-06-17|Jets|John Paddock||hired as head coach
1991-06-21||Harold Snepsts||hired as IHL head coach
1991-07-01|Canucks|Stan Smyl||hired as assistant coach (date approximate)
1991-07-01|Canucks|Ron Wilson (Laurence)||hired as assistant coach
1991-07-09|Devils|Robbie Ftorek||hired as assistant coach
1991-10-01|Penguins||Bob Johnson|replaced as head coach due to medical condition
1991-10-01|Penguins|Pierre McGuire||hired as assistant coach
1991-10-01|Penguins|William Bowman / Scotty Bowman||hired as interim head coach
1992-04-23|Lightning|Terry Crisp||hired as head coach
1992-05-08|Blues|Harold Snepsts||hired as assistant coach
1992-05-29|Canadiens||Pat Burns|resigned as head coach
1992-05-29|Maple Leafs|Pat Burns||hired as head coach
1992-06-05|Devils||Tom McVie / Tommy McVie|replaced as head coach
1992-06-05|Devils|Herb Brooks||hired as head coach
1992-06-11|Bruins|Mike O'Connell||hired as AHL coach
1992-06-11|Canadiens|Jacques Demers||hired as head coach, signed to a 3-year contract
1992-06-11|Kings||Ralph Backstrom|resigned as IHL head coach
1992-07-31|Devils||Robbie Ftorek|replaced as assistant coach
1992-07-31|Devils|Dave Farrish||hired as assistant coach
1992-09-03|North Stars|Paul Jerrard||hired as player-coach of IHL team
1992-09-03|Rangers|Dan Maloney||hired as assistant coach
1993-01-04|Rangers||Roger Neilson|fired as head coach
1993-01-04|Rangers|Ron Smith||hired as interim head coach
1993-01-21|Whalers|Tim Kerr||hired as AHL assistant coach
1993-05-21|Whalers||Jeff Jackson|resigned as assistant coach
1993-05-28|Penguins||William Bowman / Scotty Bowman|replaced as head coach
1993-05-31|Devils||Herb Brooks|replaced as head coach
1993-06-01|Whalers|Paul Gillis||hired as assistant coach (date approximate)
1993-06-08|Flyers|Craig Hartsburg||hired as assistant coach
1993-06-08|Flyers|Mike Eaves||hired as assistant coach
1993-06-21|Devils|Robbie Ftorek||hired as AHL coach
1993-06-21|Rangers|Colin Campbell||promoted to associate coach
1993-06-22|Penguins|Bryan Trottier||hired as assistant coach
1993-06-22|Penguins|Ed Johnston / Eddie Johnston||hired as head coach
1993-06-28|Devils||Dave Farrish|replaced as assistant coach
1993-06-28|Devils||Warren Strelow|replaced as goaltending coach
1993-06-28|Devils||Doug Sulliman|replaced as assistant coach
1993-06-28|Devils|Jacques Lemaire||hired as head coach
1993-06-30|Devils|Larry Robinson||hired as assistant coach
1993-08-09|Devils|Jacques Caron||hired as goaltending coach
1993-08-12||Harold Snepsts||hired as IHL head coach
1993-11-25|Oilers|Glen Sather||hired as head coach (in addition to president and GM)
1993-11-25|Oilers||Ted Green|fired as head coach
1994-01-19|Jets|John Paddock||hired as interim GM (in addition to head coach)
1994-05-09|Islanders|Butch Goring||hired as AHL head coach and GM
1994-06-01|Islanders||Al Arbour|retired as head coach
1994-06-03|Jets|John Paddock||promoted to GM (in addition to head coach)
1994-06-20|Islanders|Lorne Henning||hired as head coach
1994-07-06|Nordiques|Marc Crawford||hired as head coach
1994-07-14|Islanders|Ron Kennedy||hired as assistant coach
1994-07-24|Blues||Petr Nedved|trade with Rangers
1994-07-24|Rangers|Petr Nedved||trade with Blues
1994-08-10|Canucks||Pat Quinn|resigned as head coach (remained as president & GM)
1994-08-10|Canucks|Rick Ley||hired as head coach
1994-09-01|Devils|Dennis Gendron||hired as assistant coach
1995-04-05|Jets||John Paddock|resigned as head coach (remained as GM)
1995-04-05|Jets|Terry Simpson||hired as interim head coach
1995-06-19|Blackhawks||Darryl Sutter|fired as head coach
1995-06-20|Jets|Terry Simpson||promoted to head coach
1995-06-27|Sabres|Doug McKenney||hired as strength and conditioning coach
1995-07-05|Islanders|Mike Milbury||hired as head coach
1995-07-06|Blues||Ted Sator|resigned as associate coach
1995-07-17|Flames|Pierre Page||hired as head coach
1995-07-26|Devils||Larry Robinson|resigned as assistant coach
1995-08-03|Devils|Chris Nilan||hired as assistant coach
1995-09-08|Blues|Roger Neilson||hired as associate coach
1995-10-17|Canadiens||Jacques Demers|fired as head coach
1995-11-20|Senators||Alain Vigneault|fired as assistant coach
1995-11-20|Senators||Rick Bowness|fired as head coach
1995-12-12|Islanders|Mike Milbury||hired as GM (in addition to head coach)
1996-01-24|Senators|Jacques Martin||hired as head coach
1996-03-05|Maple Leafs|Nick Beverley||hired as interim head coach
1996-03-28|Canucks||Rick Ley|fired as head coach
1996-03-28|Canucks|Pat Quinn||hired as head coach (in addition to president & GM) for the remainder of the season
1996-04-27|Maple Leafs||Nick Beverley|replaced as head coach
1996-05-14|Devils||Chris Nilan|replaced as assistant coach
1996-05-14|Devils||Dennis Gendron|replaced as assistant coach
1996-05-14|Devils|Robbie Ftorek||hired as assistant coach
1996-06-06|Lightning|Terry Crisp||hired as head coach
1996-06-27|Penguins|Ed Johnston / Eddie Johnston||re-signed as head coach to a contract extension
1996-07-01|Canucks|Tom Renney||fired as head coach (date approximate)
1996-07-01|Coyotes||1997 third round pick (#70-Erik Andersson)|sent to Flames as compensation for head coach Don Hay
1996-07-01|Coyotes|Don Hay||hired as head coach
1996-07-01|Flames|1997 third round pick (#70-Erik Andersson)||received from Coyotes as compensation for head coach Don Hay
1996-08-30|Avalanche|Marc Crawford||hired as head coach
1996-09-29|Rangers|Bill Moores / Billy Moores||hired as assistant coach
1996-12-19|Blues||Mike Keenan (a)|fired as head coach & GM
1997-01-24|Islanders|Rick Bowness||hired as head coach
1997-03-03|Penguins|Craig Patrick||hired as head coach (in addition to GM)
1997-04-18|Bruins||Cap Raeder|fired as assistant coach
1997-04-18|Bruins||Steve Kasper|fired as head coach
1997-04-26|Penguins||Craig Patrick|replaced as head coach (remained as GM)
1997-04-30|Canadiens||Mario Tremblay|resigned as head coach
1997-05-06|Coyotes||Paul MacLean|fired as assistant coach
1997-05-06|Coyotes||Zinetula Bilyaletdinov|fired as assistant coach (offered reassignment within organization)
1997-05-06|Coyotes||Don Hay|fired as head coach
1997-05-09|Sharks||Al Sims|fired as head coach
1997-05-16|Oilers|Ron Low||team exercised contract option on head coach beyond 1998-99
1997-05-19|Stars|Doug Jarvis||re-signed as assistant coach to a contract extension through 1998-99
1997-05-19|Stars|Ken Hitchcock||re-signed as head coach to a contract extension through 98-99
1997-05-19|Stars|Rick Wilson||re-signed as assistant coach to a contract extension through 1998-99
1997-05-20|Mighty Ducks||Ron Wilson (Laurence)|fired as head coach
1997-05-21|Bruins|Pat Burns||hired as head coach
1997-05-26|Canadiens|Dave King||hired as assistant coach, signed to a 3-year contract
1997-05-26|Canadiens|Alain Vigneault||hired as head coach, signed to a 3-year contract
1997-05-30|Canadiens||Steve Shutt|fired as assistant coach
1997-05-30|Canadiens||Yvan Cournoyer|fired as assistant coach
1997-05-30|Canadiens||Jacques Laperriere|fired as assistant coach
1997-05-30|Kings|Larry Robinson||re-signed as head coach to a 2-year contract
1997-06-03|Capitals||Jim Schoenfeld|fired as head coach
1997-06-05|Blackhawks|Craig Hartsburg||re-signed as head coach to a 2-year contract extension through 1999-00
1997-06-09|Capitals|Ron Wilson (Laurence)||hired as head coach
1997-06-09|Coyotes|Jim Schoenfeld||hired as head coach
1997-06-09|Sharks|Darryl Sutter||hired as head coach
1997-06-10|Canadiens|Clement Jodoin||hired as assistant coach
1997-06-10|Canadiens|Roland Melanson||hired as assistant coach
1997-06-11|Capitals||Keith Allain|fired as assistant coach
1997-06-11|Capitals||Tod Button|fired as assistant coach
1997-06-11|Hurricanes|Paul Maurice||re-signed as head coach to a contract extension
1997-06-11|Hurricanes|Randy Ladouceur||re-signed as assistant coach to a contract extension
1997-06-11|Hurricanes|Steve Weeks||re-signed as assistant coach to a contract extension
1997-06-11|Hurricanes|Tom Webster||re-signed as assistant coach to a contract extension
1997-06-12|Penguins|Kevin Constantine||hired as head coach
1997-06-13|Flyers||Terry Murray|fired as head coach
1997-06-18|Capitals|Tim Army||hired as assistant coach
1997-06-18|Flames||Pierre Page|fired as head coach
1997-06-19||Mark Osborne||hired as IHL assistant coach
1997-06-23|Coyotes|John Tortorella||hired as assistant coach
1997-06-26|Blackhawks|Denis Savard||hired as developmental coach and in a community relations capacity
1997-06-27|Bruins|Bob Francis||hired as assistant coach, signed to a 4-year contract
1997-07-01|Rangers|Colin Campbell||re-signed as head coach to a multi-year contract extension
1997-07-02|Oilers|Ted Green||hired as assistant coach
1997-07-03|Coyotes||Pete Peeters|fired as goaltending coach
1997-07-03|Flames|Brian Sutter||hired as head coach
1997-07-07|Flyers|Keith Acton||promoted to associate coach
1997-07-07|Flyers|Wayne Cashman||hired as head coach
1997-07-10|Canucks|Benoit Allaire||hired as goaltending coach
1997-07-14|Sharks|Paul Baxter||hired as assistant coach
1997-07-17|Mighty Ducks|Don Hay||hired as assistant coach
1997-07-18|Red Wings|Dave Lewis||re-signed as assistant coach to a 2-year contract
1997-07-18|Red Wings|Barry Smith||re-signed as assistant coach to a 2-year contract
1997-07-18|Red Wings|William Bowman / Scotty Bowman||re-signed as head coach to a 2-year contract extension
1997-07-21|Flames|Rick Preston (Rich Preston?)||hired as assistant coach
1997-07-21|Sabres|Lindy Ruff||hired as head coach, signed to a multi-year contract
1997-07-23|Capitals|Tim Hunter||hired as assistant coach
1997-07-24|Sabres|Mike Ramsey||hired as assistant coach
1997-07-25|Bruins|Rod Langway||hired as AHL assistant coach, signed to a 2-year contract
1997-07-29|Panthers|Joe Cirella||hired as assistant coach
1997-07-29|Sabres|Don Lever||hired as associate coach
1997-08-01|Coyotes|Gary Roberts||hired as assistant coach (in addition to director of player development)
1997-08-01|Coyotes|Gordie Roberts||hired as assistant coach
1997-08-05|Capitals|Dave Prior||hired as goaltending coach
1997-08-08|Mighty Ducks|Pierre Page||hired as head coach
1997-08-09|Flames|1998 fifth round pick (#120-Brent Gauvreau)||received from Mighty Ducks on 08-09 as compensation for head coach Pierre Page
1997-08-09|Mighty Ducks||1998 fifth round pick (#120-Brent Gauvreau)|sent to Flames on 08-09 as compensation for head coach Pierre Page
1997-08-12|Sabres|Brian McCutcheon||hired as AHL head coach
1997-08-14|Rangers|Craig MacTavish||hired as assistant coach
1997-08-15|Capitals|Bryan Trottier||hired as AHL head coach
1997-08-19|Islanders|Brad McCrimmon||hired as assistant coach
1997-08-20|Maple Leafs|Al MacAdam||hired as AHL head coach
1997-08-28|Capitals|Jay Wells||hired as AHL assistant coach
1997-09-04|Rangers|Dick Todd||re-signed as assistant coach
1997-09-04|Rangers|Bill Moores / Billy Moores||re-signed as assistant coach
1997-10-23||Chris Cichocki||hired as IHL assistant coach
1997-10-26|Lightning||Dave MacQueen|fired as assistant coach
1997-10-26|Lightning||Terry Crisp|fired as head coach
1997-10-26|Lightning|Rick Paterson||promoted to interim head coach
1997-11-12|Lightning|Jacques Demers||hired as head coach, signed to a 3-year contract
1997-11-13|Canucks||Terry Bangen|fired assistant coach
1997-11-13|Canucks||Tom Renney|fired as head coach
1997-11-13|Canucks|Mike Keenan (a)||hired as head coach
1997-11-24|Panthers||Doug MacLean|fired as head coach
1997-11-24|Panthers|Bryan Murray||hired as head coach
1997-12-03|Blackhawks|Denis Savard||promoted to assistant coach
1998-02-01|Canadiens|1998 eighth round pick (#201-Craig Murray)||received from Lightning as compensation for head coach Jacques Demers
1998-02-01|Lightning||1998 eighth round pick (#201-Craig Murray)|sent to Canadiens as compensation for head coach Jacques Demers
1998-02-18|Rangers||Colin Campbell|fired as head coach
1998-02-19|Rangers|John Muckler||hired as head coach
1998-03-09|Flyers||Wayne Cashman|demoted to assistant coach
1998-03-09|Flyers||Dave Brown (a)|fired as assistant coach
1998-03-09|Flyers|Keith Acton||promoted to assistant coach
1998-03-09|Flyers|Roger Neilson||hired as head coach
1998-03-09|Flyers||1999 sixth round pick (#180-Tore Vikingstad)|sent to Blues as compensation for head coach Roger Neilson
1998-03-09|Blues|1999 sixth round pick (#180-Tore Vikingstad)||received from Flyers as compensation for head coach Roger Neilson
1998-03-11|Islanders||Rick Bowness|fired as head coach
1998-03-11|Islanders|Brad McCrimmon||reassigned from assistant coach to scout
1998-03-11|Islanders|Gord Clark||reassigned from director of player personnel to assistant coach
1998-03-11|Islanders|Mike Milbury||hired as head coach (in addition to GM)
1998-03-14||Clint Malarchuk||hired as head coach of Las Vegas (IHL)
1998-03-18|Blues|Rick Meagher||hired as interim assistant coach for the remainder of the season
1998-04-28|Blackhawks||Craig Hartsburg|fired as head coach
1998-04-28|Blackhawks||Lorne Henning|fired as assistant coach
1998-04-28|Blackhawks||Newell Brown|fired as assistant coach
1998-05-08|Devils||Jacques Lemaire|resigned as head coach
1998-05-18|Islanders|Mike Milbury||re-signed as GM & head coach to a 5-year contract
1998-05-21|Devils|Robbie Ftorek||promoted to head coach
1998-05-27|Avalanche||Marc Crawford|resigned as head coach
1998-05-28|Sharks|Nick Fotiu||hired as AHL assistant coach
1998-05-28|Sharks|Paul Baxter||re-signed as assistant coach
1998-05-28|Sharks|Darryl Sutter||re-signed as head coach
1998-05-28|Sharks|Roy Sommer||hired as AHL head coach
1998-06-02|Avalanche|Bryan Trottier||hired as assistant coach
1998-06-02|Avalanche|Bob Hartley||hired as head coach
1998-06-02|Avalanche|Mike Foligno||hired as AHL head coach (date 6/16 per LOH)
1998-06-12|Blues|Joel Quenneville||re-signed as head coach to a 2-year contract extension through 2000-01
1998-06-15|Mighty Ducks||Pierre Page|fired as head coach
1998-06-18|Lightning|Paulin Bordeleau||hired as assistant coach
1998-06-18|Rangers|Keith Acton||hired as assistant coach
1998-06-19|Predators|Brent Peterson||hired as assistant coach
1998-06-19|Predators|Brent Peterson (a)||hired as assistant coach
1998-06-21|Panthers|Terry Murray||hired as coach
1998-06-23|Maple Leafs||Mike Murphy (a)|fired as head coach
1998-06-23|Panthers|Slavomir Lener||hired as assistant coach
1998-06-23|Panthers|Bill Smith||hired as assistant coach
1998-06-23|Rangers|Charlie Huddy||hired as assistant coach
1998-06-25|Stars|Bill McDonald||hired as AHL head coach, signed to a 2-year contract
1998-06-25|Stars|Jim Playfair||re-signed as AHL assistant coach
1998-06-26|Maple Leafs|Pat Quinn||hired as head coach
1998-06-26|Sharks|Bob Berry||hired as assistant coach
1998-06-27|Blackhawks|Lorne Molleken||hired as assistant coach
1998-06-27|Blackhawks|Dirk Graham||hired as head coach
1998-06-29|Blackhawks|Denis Savard||hired as assistant coach
1998-07-07|Flyers|Craig Ramsay||hired as assistant coach
1998-07-07|Islanders|Greg Cronin||hired as assistant coach
1998-07-07|Islanders|Stefan Lunner||hired as assistant coach
1998-07-07|Islanders|Lorne Henning||hired as associate coach
1998-07-09|Maple Leafs||Bill Kitchen|fired as assistant coach
1998-07-09|Maple Leafs|Rick Wamsley||reassigned from assistant coach to scout
1998-07-21|Mighty Ducks|Craig Hartsburg||hired as head coach
1998-07-22|Islanders|Steve Stirling||hired as organizational coach
1998-07-22|Islanders|Bill Stewart||hired as assistant coach
1998-07-22|Lightning|Jock Callander||signed as player / assistant coach of IHL team
1998-07-22|Lightning|Perry Ganchar||hired as IHL head coach
1998-07-22|Islanders||1999 seventh round pick (#190-Blair Stayzer)|sent to Flames as compensation for head coach Bill Stewart
1998-07-22|Flames|1999 seventh round pick (#190-Blair Stayzer)||received from Islanders as compensation for head coach Bill Stewart
1998-07-28|Devils|Viacheslav Fetisov / Vyacheslav Fetisov / Slava Fetisov||hired as assistant coach, signed to a 3-year contract
1998-07-30|Oilers|Kevin Lowe||hired as assistant coach
1998-08-04|Maple Leafs||Terry Simpson|resigned/fired as assistant coach
1998-08-04|Maple Leafs|Rick Ley||hired as assistant coach
1998-08-05|Capitals|Mark Kumpel||hired as AHL head coach
1998-08-06|Predators|Paul Gardner||hired as assistant coach
1998-08-12|Mighty Ducks|Newell Brown||hired as assistant coach
1998-08-25|Coyotes|Stieg Theander||hired as strength & conditioning coach
1998-08-26|Maple Leafs|Alpo Suhonen||hired as assistant coach
1998-08-28|Blues|Keith Allain||hired as goaltending coach
1998-09-01|Blues|Jim Roberts / Jimmy Roberts (W.)||re-signed as assistant coach to a contract extension
1998-09-01|Blues|Mike Kitchen||hired as assistant coach
1998-09-03|Stars|Ken Hitchcock||re-signed as head coach to a contract extension through 01-02
1998-09-09|Hurricanes|Kevin McCarthy||re-signed as AHL coach to a multi-year contract extension
1998-09-09|Senators|Jacques Martin||re-signed as head coach to a multi-year contract
1998-09-11|Senators|Mike Murphy (a)||hired as assistant coach
1998-09-13|Flames|Jamie Hislop||hired as assistant coach
1998-09-14|Stars|Doug Jarvis||re-signed as assistant coach to a contract extension through 2001-02
1998-09-14|Stars|Rick Wilson||re-signed as assistant coach to a contract extension through 2001-02
1998-09-16|Sabres|Jim Corsi||hired as goaltending coach
1998-09-23|Sabres|Jon Christiano||hired as AHL assistant coach
1998-09-29|Flyers|Mike Stothers||re-signed as AHL assistant coach to a contract extension through 99-00
1998-09-29|Flyers|Bill Barber||re-signed as AHL coach to a contract extension through 1999-00
1998-10-13|Lightning|Jacques Demers||hired as GM (in addition to head coach)
1998-10-20|Lightning|Rick Paterson||hired as associate coach
1998-10-28|Canadiens|Alain Vigneault||re-signed as head coach to a contract extension through 2000-01
1998-11-06|Lightning|Jacques Demers||signed as GM and head coach to a 4-year contract through 2001-02
1998-11-27|Lightning|John Cullen||hired as assistant coach
1999-01-21|Islanders||Mike Milbury|resigned as head coach (remained as GM)
1999-01-21|Islanders|Bill Stewart||promoted to head coach
1999-01-24|Canucks||Mike Keenan (a)|fired as head coach
1999-01-24|Canucks|Marc Crawford||hired as head coach
1999-01-27|Flyers|Mike Stothers||promoted to interim assistant coach for the remainder of the season
1999-02-01|Avalanche|||received from Canucks as compensation for head coach Marc Crawford
1999-02-01|Canucks|||sent to Avalanche as compensation for head coach Marc Crawford
1999-02-02|Blackhawks||Dirk Graham|fired as head coach (re-assigned within organization) (date 2/22 per USA Today)
1999-02-02|Blackhawks|Lorne Molleken||promoted to interim head coach (date 02-22 per USA Today)
1999-02-02|Blackhawks|Trent Yawney||hired as assistant coach
1999-02-24|Blackhawks|Trent Yawney||hired as assistant coach
1999-04-19|Kings||Larry Robinson|fired as head coach
1999-04-29|Islanders|Butch Goring||hired as head coach, signed to a 3-year contract
1999-05-16|Flames|Al MacNeil||re-signed as assistant coach to a contract extension
1999-05-16|Flames|Jamie Hislop||re-signed as assistant coach to a contract extension
1999-05-16|Flames|Rich Preston||re-signed as assistant coach to a contract extension
1999-05-16|Flames|Brian Sutter||re-signed as head coach to a contract extension
1999-05-19|Capitals|Glen Hanlon||hired as AHL head coach
1999-05-19|Hurricanes||Tom Webster|resigned as assistant coach
1999-05-21|Predators|Paul Gardner||re-signed as assistant coach to a contract extension
1999-05-21|Predators|Barry Trotz||re-signed as head coach to a contract extension
1999-05-21|Predators|Brent Peterson (b)||re-signed as assistant coach to a contract extension
1999-05-24|Coyotes||Gordie Roberts|fired as assistant coach (remained as director of player development)
1999-05-24|Coyotes||Jim Schoenfeld|fired as head coach
1999-05-26|Devils|Larry Robinson||hired as assistant coach
1999-05-28|Red Wings|William Bowman / Scotty Bowman||re-signed as head coach to a 1-year contract
1999-06-01|Penguins|Glenn Patrick||hired as AHL head coach
1999-06-07|Oilers||Ron Low|resigned as head coach
1999-06-14|Kings|Andy Murray||hired as head coach, signed to a 3-year contract
1999-06-16|Coyotes|Bob Francis||hired as head coach, signed to a 3-year contract
1999-06-18|Canucks|Jack McIlhargey||hired as assistant coach
1999-06-18|Canucks|Mike Johnston||hired as assistant coach
1999-06-18|Oilers|Kevin Lowe||promoted to head coach
1999-06-22|Hurricanes|Paul Maurice||re-signed as head coach to a 3-year contract
1999-06-22|Hurricanes|Randy Ladoceur||hired as assistant coach, signed to a 3-year contract
1999-06-22|Hurricanes|Kevin McCarthy||hired as as assistant coach, signed to a 3-year contract
1999-06-25|Thrashers|Curt Fraser||hired as head coach (date 07-14 per NYT USAT)
1999-06-30|Senators|Perry Pearn||re-signed as assistant coach to a multi-year contract
1999-07-07|Coyotes|Wayne Fleming||hired as assistant coach
1999-07-07|Coyotes|Rick Bowness||hired as assistant coach
1999-07-07|Kings|Dave Tippett||hired as assistant coach
1999-07-07|Kings|Mark Hardy||hired as assistant coach
1999-07-14|Lightning||Jacques Demers|fired as GM and head coach
1999-07-14|Lightning|Steve Ludzik||hired as head coach
1999-07-14|Maple Leafs|Pat Quinn||hired as GM (in addition to head coach)
1999-07-15||Scott Arniel||hired as assistant coach of Manitoba (IHL)
1999-07-15|Lightning||Paulin Bordeleau|fired as assistant coach
1999-07-15|Lightning||Rick Paterson|fired as associate coach
1999-07-15|Lightning|John Cullen||re-signed as assistant coach
1999-07-15|Oilers|Craig MacTavish||hired as assistant coach
1999-07-19|Kings|Ray Bennett||hired as assistant coach
1999-07-19|Maple Leafs|Al MacAdam||re-signed as AHL head coach
1999-07-26|Kings|Bruce Boudreau||hired as AHL head coach
1999-07-26|Rangers|John Tortorella||hired as assistant coach
1999-07-27|Lightning|John Torchetti||hired as assistant coach
1999-08-02|Thrashers|Chris Reichart||promoted to strength & conditioning coach
1999-08-03|Thrashers|George Kingston||hired as assistant coach
1999-08-03|Thrashers|Jay Leach||hired as assistant coach
1999-08-10|Oilers|Ted Green||re-signed as assistant coach
1999-08-10|Red Wings|Dave Lewis||re-signed as assistant coach to a 2-year contract
1999-08-10|Red Wings|Barry Smith||re-signed as assistant coach to a 2-year contract
1999-08-12|Devils|Bob Carpenter / Bobby Carpenter||hired as AHL assistant coach
1999-08-18|Senators|Andre Savard||promoted to assistant coach
1999-08-19|Flames|Tom Watt||hired as development coach
1999-08-20||Greg Smyth||hired as AHL assistant coach
1999-08-23|Canucks|Barry Smith||hired as AHL assistant coach
1999-08-26|Lightning|Paul Vincent||hired as special skills coach
1999-09-03|Lightning|Brad Shaw||hired as assistant coach
1999-09-07|Bruins|Ken Baumgartner||hired as assistant coach
1999-09-15|Sabres|Lindy Ruff||re-signed as head coach to a 3-year contract extension through 2002-03
1999-09-17|Sabres|Brian McCutcheon||re-signed as AHL head coach to a 3-year contract extension
1999-10-22|||Greg Smyth|resigned as AHL assistant coach
1999-11-10|Indians|Dick Pole||hired as pitching coach
1999-12-02|Blackhawks|Bob Pulford||hired as GM & head coach
1999-12-02|Blackhawks|Lorne Molleken||demoted to associate coach
1999-12-09|Penguins||Kevin Constantine|fired as head coach
1999-12-09|Penguins|Herb Brooks||hired as head coach
1999-12-09|Penguins|Rick Kehoe||hired as assistant coach
1999-12-09|Penguins|Ed Johnston / Eddie Johnston||hired as assistant coach
2000-01-24||Jim Playfair||hired as IHL head coach
2000-01-27||Craig Ludwig||hired as IHL assistant coach
2000-02-07|Penguins|Ivan Hlinka||hired as associate coach
2000-02-20|Flyers|Mike Stothers||hired as interim assistant coach
2000-03-23|Devils||Robbie Ftorek|fired as head coach
2000-03-23|Devils|Bob Carpenter / Bobby Carpenter||hired as assistant coach
2000-03-23|Devils|Larry Robinson||promoted to head coach
2000-03-28|Rangers||John Muckler|fired as head coach
2000-04-11|Flames||Rich Preston|fired as assistant coach
2000-04-11|Flames||Brian Sutter|fired as head coach
2000-04-26|Coyotes||Dave Farrish|fired as AHL head coach
2000-04-26|Coyotes||Ron Wilson|fired as AHL assistant coach
2000-05-09|Blackhawks||Lorne Molleken|fired as associate coach
2000-05-09|Penguins||Herb Brooks|replaced as head coach
2000-05-17|Mighty Ducks|Craig Hartsburg||re-signed as head coach to a 2-year contract extension through 2002-03
2000-05-22|Blackhawks|Alpo Suhonen||hired as head coach
2000-06-01||Dave Allison||hired as IHL head coach
2000-06-05|Sharks||Paul Baxter|resigned as assistant coach
2000-06-06|Sharks|Darryl Sutter||re-signed as head coach to a contract extension
2000-06-07|Oilers||Kevin Lowe|resigned as head coach
2000-06-08|Blackhawks|Phil Walker||hired as assistant coach, strength & conditioning
2000-06-08|Flyers|Mike Stothers||promoted to assistant coach (date per HN, 06-13 per LOH)
2000-06-08|Flyers|Craig Ramsay||promoted to head coach
2000-06-10|Devils||Bob Carpenter / Bobby Carpenter|replaced as assistant coach
2000-06-11|Wild|Jacques Lemaire||hired as head coach (LOH)
2000-06-14|Maple Leafs|Kevin McClelland||hired as AHL assistant coach
2000-06-14|Maple Leafs|Lou Crawford||hired as AHL head coach
2000-06-19||Doug Shedden||hired as head coach of Memphis (CHL)
2000-06-19|Wild|Jacques Lemaire||hired as head coach
2000-06-21|Penguins|Ivan Hlinka||promoted to head coach
2000-06-21|Penguins|Rick Kehoe||re-signed as assistant coach
2000-06-21|Penguins|Joe Mullen / Joey Mullen||hired as assistant coach
2000-06-22|Oilers|Craig MacTavish||promoted to head coach
2000-06-23||Trent Yawney||hired as AHL head coach
2000-06-24|Sharks|Cap Raeder||hired as assistant coach
2000-06-24|Sharks|Rich Preston||hired as assistant coach
2000-06-29|Mighty Ducks|Guy Charron||hired as assistant coach
2000-06-30|Bruins|Peter Laviolette||hired as assistant coach
2000-06-30|Devils|Larry Robinson||re-signed as head coach
2000-07-03|Blackhawks|Denis Savard||re-signed as assistant coach
2000-07-03|Blackhawks|Don Jackson||hired as assistant coach
2000-07-05|Blue Jackets|Dave King||hired as head coach
2000-07-05|Flyers|Bill Barber||hired as assistant coach
2000-07-06||John Stevens||hired as head coach of Philadelphia Phantoms (AHL)
2000-07-06|Flyers|Don Nachbaur||hired as AHL assistant coach
2000-07-06|Flyers|Kjell Samuelsson||hired as AHL assistant coach
2000-07-06|Sabres|Brian McCutcheon||promoted to assistant coach
2000-07-07|Blue Jackets|Rick Wamsley||hired as goaltending coach
2000-07-07|Blue Jackets|Newell Brown||hired as associate coach (date approximate)
2000-07-07|Lightning|John Tortorella||hired as associate coach
2000-07-10|Mighty Ducks|Terry Simpson||hired as assistant coach
2000-07-12|Blues|Jim Roberts / Jimmy Roberts (W.)||re-signed as assistant coach to a contract extension through 2001-02
2000-07-12|Coyotes|Marc Potvin||hired as AHL head coach
2000-07-12|Rangers|Ron Low||hired as head coach
2000-07-12|Rangers|Walt Kyle||hired as assistant coach
2000-07-12|Oilers||Ted Green|resigned as assistant coach (date approximate)
2000-07-12|Rangers|Ted Green||hired as assistant coach
2000-07-18|Blue Jackets|Gerard Gallant||hired as assistant coach
2000-07-21|Oilers|Charlie Huddy||hired as assistant coach
2000-07-21|Oilers|Bill Moores / Billy Moores||hired as assistant coach
2000-07-24|Wild|Mike Ramsey||hired as assistant coach
2000-07-24|Wild|Mario Tremblay||hired as assistant coach
2000-07-25||Chris Cichocki||hired as ECHL head coach
2000-08-01|Coyotes|Norm MacIver||hired as AHL head coach
2000-08-01|Flames|Don Hay||hired as head coach
2000-08-01|Senators|Roger Neilson||hired as assistant coach
2000-08-01|Wild|Todd McLellan||hired as IHL head coach of (Cleveland)
2000-08-02||Darryl Williams||hired as head coach of Long Beach (IHL)
2000-08-04|Blue Jackets|Mark Casterline||hired as strength & conditioning coach
2000-08-04|Maple Leafs|Keith Acton||hired as assistant coach
2000-08-08|Flames|Brad McCrimmon||hired as assistant coach
2000-08-10|Flames|Jim Playfair||hired as AHL head coach
2000-08-10|Oilers|Claude Julien||hired as AHL head coach
2000-08-10|Penguins|Randy Hillier||hired as assistant coach
2000-08-11|Flames|Greg Gilbert||hired as assistant coach
2000-08-14|Oilers|Mark Lamb||hired as assistant coach in charge of player development
2000-08-16|Coyotes||Wayne Fleming|resigned as assistant coach
2000-08-22|Devils|Kurt Kleinendorst||hired as assistant coach
2000-08-23|Blues|Don Granato||hired as AHL head coach
2000-08-23|Wild|George Kinnear||hired as strength & conditioning coach
2000-08-25|Flames|Jamie Hislop||hired as development coach
2000-08-28|Flames|Ron Wilson||hired as AHL assistant coach
2000-09-02|Avalanche|Bob Hartley||re-signed as head coach to a 1-year contract extension through 2001-02
