date|team|acquired|relinquished|notes
1983-08-29|Maulers (USFL)|Frank Lauterbur||hired as defensive line coach
1983-08-29|Maulers (USFL)|Ellis Rainsberger||hired as assistant head coach / offensive line coach
1983-08-30|Showboats (USFL)|Pepper Rodgers / Pepper Rogers||hired as head coach
1983-09-19|Wranglers (USFL)||Doug Shively|fired as head coach
1983-09-30|Wranglers (USFL)|Donald Pollard / Deek Pollard||became secondary coach as part of Blitz-Wranglers franchise swap
1983-09-30|Wranglers (USFL)|George Allen (a)||became chairman of the board and head coach as part of Blitz (USFL) - Wranglers (USFL) franchise swap
1983-09-30|Wranglers (USFL)|John Payne||became offensive line coach as part of Blitz (USFL) - Wranglers (USFL) franchise swap
1983-09-30|Wranglers (USFL)|John Teerlinck||became defensive line coach as part of Blitz-Wranglers franchise swap
1983-09-30|Wranglers (USFL)|Pete Ketella||wide receivers coach
1983-09-30|Wranglers (USFL)|Ray Wietecha / Ray Wieticha / Ray Wielecha||became running backs coach as part of Blitz (USFL) - Wranglers (USFL) franchise swap
1983-09-30|Wranglers (USFL)|Roman Gabriel||quarterbacks coach
1983-09-30|Wranglers (USFL)|Warren Anderson||became strength and conditioning coach as part of Blitz-Wranglers franchise swap
1983-10-09|Giants||Bob Ledbetter|assistant coach died (date approximate)
1983-10-10|Oilers||Ed Biles|resigned as head coach
1983-10-11|Oilers|Chuck Studley||promoted to interim head coach
1983-10-26|Generals (USFL)||Richard Moseley / Dick Moseley|resigned as defensive backs coach
1983-11-19|Wranglers (USFL)|Bob Lord||hired as special teams coach
1983-11-29|Gamblers (USFL)|Ray Alborn||hired as defensive line coach
1983-11-30|Showboats (USFL)|Jimmy Sharpe||hired as running backs coach
1983-12-19|Oilers||Chuck Studley|resigned as interim head coach
1983-12-19|Packers||Bart Starr|fired as head coach & GM
1983-12-19|Buccaneers||Frank Emanuel|resigned as kicking teams coach
1983-12-19|Bulls (USFL)|Frank Emanuel||hired as defensive coordinator / linebackers coach
1983-12-20|Generals (USFL)|Walt Michaels||signed as head coach to a 3-year contract
1983-12-27|Eagles||Jerry Wampfler|fired as offensive line and running game coach
1983-12-27|Eagles||John Becker|fired as receivers coach
1983-12-28|Bengals|Sam Wyche||hired as head coach
1983-12-29|Packers|George Sefcik||hired as offensive backfield coach
1983-12-30|Packers|Dick Modzelewski||hired as linebackers coach
1983-12-31|Packers|Lew Carpenter||hired as receivers coach
1984-01-01|Blitz (USFL)|Dennis Shaw||receivers coach
1984-01-01|Blitz (USFL)|Jim Colbert||hired as defensive backs coach
1984-01-01|Blitz (USFL)|John Huard||hired as special teams coach
1984-01-01|Blitz (USFL)|Marv Levy||head coach
1984-01-01|Blitz (USFL)|Mike Murphy||hired as defensive line coach
1984-01-01|Blitz (USFL)|Robert Egley||defensive assistant / strength and conditioning coach
1984-01-01|Blitz (USFL)|Tom Beck (a)||hired as offensive backs coach
1984-01-01|Blitz (USFL)|Whitey Dovell||offensive line coach
1984-01-01|Bulls (USFL)|Buddy Geis||receivers coach
1984-01-01|Bulls (USFL)|Charlie Davis||chief assistant coach / offensive line coach
1984-01-01|Bulls (USFL)|Dave Nusz||defensive backs coach
1984-01-01|Bulls (USFL)|Greg Blache||defensive line coach
1984-01-01|Bulls (USFL)|Joe Clark||running backs coach
1984-01-01|Bulls (USFL)|Lindy Infante||head coach
1984-01-01|Bulls (USFL)|Mike Barrett||defensive assistant coach / strength and conditioning coach
1984-01-01|Bulls (USFL)|Mike McCann||tight ends coach / special teams coach
1984-01-01|Express (USFL)|Don McLeary||receivers / special teams coach
1984-01-01|Express (USFL)|Ed Lambert||running backs coach
1984-01-01|Express (USFL)|John Sanders (a)?||defensive assistant coach
1984-01-01|Express (USFL)|Keith Gilbertson||defensive line coach
1984-01-01|Express (USFL)|Mike Ackerley||linebackers coach
1984-01-01|Express (USFL)|Pokey Allen||defensive coordinator / secondary coach
1984-01-01|Express (USFL)|Sam Gruneisen||assistant head coach / offensive line coach
1984-01-01|Gamblers (USFL)|Bob Young||offensive line coach / strength and conditioning coach
1984-01-01|Gamblers (USFL)|John Jenkins||offensive backs coach / special teams coach
1984-01-01|Gamblers (USFL)|June Jones||receivers coach
1984-01-01|Gamblers (USFL)|Pat Thomas (S.)||defensive backs coach
1984-01-01|Gold (USFL)|Bill Dutton||defensive line coach
1984-01-01|Gold (USFL)|Gary Cabe||running backs coach
1984-01-01|Gold (USFL)|Greg Brown||defensive assistant coach
1984-01-01|Gold (USFL)|Jim Cadile||offensive line coach
1984-01-01|Gold (USFL)|Jim Carr (a)||promoted to assistant head coach / defensive coordinator (date approximate)
1984-01-01|Gold (USFL)|Lonnie Warwick||linebackers coach
1984-01-01|Gold (USFL)|Phil Cancik||special teams coach / strength and conditioning coach
1984-01-01|Showboats (USFL)|Bill Oliver||defensive backs coach
1984-01-01|Showboats (USFL)|Bob Patterson||defensive line coach
1984-01-01|Showboats (USFL)|Ernie Zwahlen||offensive line coach
1984-01-01|Showboats (USFL)|Jimmy Robinson||wide receivers coach
1984-01-03|Express (USFL)|John Hadl||hired as head coach
1984-01-03|Maulers (USFL)|Bill McConnell||hired as assistant coach
1984-01-03|Maulers (USFL)|Bruce DeHaven||hired as assistant coach
1984-01-03|Maulers (USFL)|Joe Hatcher||hired as assistant coach
1984-01-03|Oilers|Hugh Campbell||hired as head coach
1984-01-04|Cardinals|Jim Hanifan||re-signed as head coach to a contract extension through 1986
1984-01-04|Outlaws (USFL)|Woody Widenhofer||hired as coach
1984-01-04|Packers|Ken Riley||hired as defensive backfield coach
1984-01-05|Packers|Herb Paterra||hired as special teams coach
1984-01-06|Bengals|Richard Selcer / Dick Selcer||hired as linebackers coach
1984-01-07|Outlaws (USFL)|Jim McKinley||hired as defensive line coach
1984-01-07|Outlaws (USFL)|Frank Novak||hired as running backs coach
1984-01-09|Packers|Jerry Wampfler||hired as offensive line coach
1984-01-10|Buccaneers|Wayne Fontes||promoted to assistant head coach (in addition to defensive coordinator)
1984-01-10|Steelers|Bill Meyers||hired as guards & centers coach
1984-01-11|Bengals|Joe Faragalli||hired as quarterbacks and tight ends coach
1984-01-11|Express (USFL)|Sid Gillman||hired as special assistant coach
1984-01-12|Bengals|Jim Anderson (a)||hired as running backs coach
1984-01-16|Bengals|Bill Urbanik||hired as defensive line coach
1984-01-19|Oilers|Al Roberts||hired as running backs coach
1984-01-19|Oilers|Bruce Lemmerman||hired as receivers coach
1984-01-19|Oilers|Gene Gaines||hired as special teams coach
1984-01-20|Eagles|Ted Marchibroda||hired as offensive coordinator / quarterbacks coach
1984-01-20|Invaders (USFL)|Ray Malavasi||hired as offensive line coach
1984-01-24|Falcons||Jack Christiansen|resigned as defensive backs coach
1984-01-27|Vikings||Harry Grant / Bud Grant|retired as head coach
1984-01-29|Vikings|Les Steckel||hired as head coach
1984-02-01|Bengals||Forrest Gregg|resigned as head coach (date approximate)
1984-02-06|Vikings|Dan Radakovich||hired as assistant coach
1984-02-09|Packers|Virgil Knight||hired as strength & conditioning coach
1984-02-16|Steelers|Ed Hughes||hired as outside linebackers coach
1984-02-17|Chargers||Jerry Smith|fired as defensive line coach
1984-02-23|Vikings|Tom Batta||hired as assistant coach
1984-02-23|Vikings|Mike Sweatman||hired as assistant coach
1984-02-24|Bills|Jim Speros||hired as defensive assistant and strength & conditioning coach
1984-02-28|Giants|Michael Pope / Mike Pope||promoted to tight ends coach
1984-02-28|Giants|Ray Handley||hired as running backs coach
1984-03-01|Bills|John Becker||hired as tight ends coach
1984-03-01|Broncos|Alex Gibbs||hired as assistant offensive line coach
1984-03-01|Broncos|Marvin Bass||promoted to head offensive line coach
1984-03-01|Panthers (USFL)|Michael Long||offensive line assistant coach / kickers coach
1984-03-01|Panthers (USFL)|Robert Morgan||hired as assistant to the head coach
1984-03-06|Invaders (USFL)|Chuck Hutchison||hired as offensive line coach (in addition to player personnel director)
1984-03-27|Chargers|Doug Shively||hired as defensive line coach
1984-04-02|Invaders (USFL)|Vic Rapp||hired as offensive line coach
1984-04-12|Invaders (USFL)|Ed Flanagan||hired as offensive line coach
1984-05-01|Bills|Pete Carroll||hired as defensive backs coach
1984-05-01|Saints|O.A. Phillips / Bum Phillips||re-signed as head coach to a 3-year contract extension
1984-05-07|Raiders|Bob Zeman||hired as linebackers coach
1984-06-21|Buccaneers|Bill Kollar||hired as kicking team coach
1984-06-26|Invaders (USFL)|Charlie Sumner||hired as head coach & VP
1984-08-24|Browns|Sam Rutigliano||re-signed as head coach to a 3-year contract extension through 1988
1984-08-28|Gunslingers (USFL)|Jim Bates (b)||promoted to head coach
1984-09-13|Invaders (USFL)|Fred Biletnikoff||hired as receivers coach
1984-09-27|Wranglers (USFL)||George Allen (a)|retired as head coach (remained as chairman of the board)
1984-09-27|Wranglers (USFL)|Paul Lanham||promoted to head coach
1984-10-22|Browns||Sam Rutigliano|fired as head coach (date approximate)
1984-10-22|Browns|Marty Schottenheimer||hired as head coach
1984-10-29|Patriots||Steve Endicott|resigned as receivers coach
1984-10-29|Patriots|Lew Erber||hired as receivers coach (in addition to offensive coordinator and quarterbacks coach)
1984-10-31|Gamblers (USFL)|Kevin McLain||hired as special teams coach
1984-11-05|Buccaneers||John McKay|resigned as head coach (effective at the end of the season) to become team president
1984-11-15|Wranglers (USFL)||Roman Gabriel|resigned as quarterbacks coach
1984-12-13|Colts||Frank Kush|resigned as head coach
1984-12-13|Colts|Hal Hunter||hired as interim head coach
1984-12-13|Gunslingers (USFL)||Ben Hawkins|fired as receivers coach
1984-12-14|Outlaws (USFL)|Frank Kush||hired as head coach (date approximate)
1984-12-17|Vikings||Les Steckel|fired as head coach
1984-12-18|Vikings|Harry Grant / Bud Grant||hired as head coach
1984-12-24|Packers|Forrest Gregg||hired as head coach to a 5-year contract
1984-12-29|Jets||Ralph Baker|fired as linebackers coach
1984-12-29|Jets||William Baird / Bill Baird / Billy Baird|fired as secondary coach
1985-01-03|Bears|Mike Ditka||re-signed as head coach to a 3-year contract
1985-01-07|Vikings|Marc Trestman||hired as assistant coach offense
1985-01-09|Patriots|Dante Scarnecchia||hired as special teams coach and tight ends coach
1985-01-09|Patriots|Don Shinnick||hired as linebackers coach
1985-01-09|Patriots|Bobby Grier||hired as running backs coach
1985-01-09|Patriots|Dean Brittenham||hired as strength and conditioning coach
1985-01-09|Patriots|Jim Carr (a)||hired as defensive backfield coach
1985-01-11|Browns||Dave Adolph|resigned as linebackers coach
1985-01-11|Browns|Bill Cowher||hired as special teams coach
1985-01-14|Colts|Tom Zupancic||rehired as strength coach
1985-01-15|Browns|Howard Mudd||re-signed as offensive line coach
1985-01-15|Invaders (USFL)|MacArthur Lane||hired as running backs coach
1985-01-16|Bandits (USFL)|Carl Franks||hired as running backs coach
1985-01-16|Bandits (USFL)|Rich McGeorge||hired as offensive coordinator and offensive line coach
1985-01-16|Stallions (USFL)|Tom Banks||hired as offensive line coach
1985-01-17|Jets|Bill Austin||hired as offensive line coach
1985-01-19|Bills|Hank Bullough||hired as defensive coordinator / assistant head coach
1985-01-21|Jets|Bud Carson||hired as deffensive coordinator and backfield coach
1985-01-23|Buccaneers|Leeman Bennett||hired as head coach
1985-01-28|Bills|Jim Ringo||hired as offensive coordinator and offensive line coach
1985-01-28|Colts||Hal Hunter|replaced as interim head coach
1985-01-28|Colts|Rod Dowhower||hired as head coach
1985-01-28|Jets|Dan Radakovich||hired as linebackers coach
1985-02-01|Colts|George Catavalos||re-signed as defensive backs coach
1985-02-01|Colts|Rick Venturi||re-signed as linebackers coach
1985-02-01|Raiders|Terry Robiskie||hired as special teams coach (date approximate)
1985-02-02|Cardinals|Jim Hanifan||re-signed as head coach to a 1-year contract extension through 1987
1985-02-04|Cardinals||Tom Lovat|resigned as offensive line coach (date approximate)
1985-02-04|Cardinals|Ernie McMillan / Ernie McMillian||hired as offensive line coach
1985-02-04|Colts|Tom Lovat||hired as assistant head coach (date approximate)
1985-02-07|Buccaneers|Don Lawrence||hired as defensive line coach
1985-02-07|Buccaneers|Kim Helton||re-signed as offensive line coach
1985-02-07|Cardinals|Chuck Banker||hired as running backs coach
1985-02-08|Cardinals|Jerry Smith||hired as special teams coach
1985-02-11|Giants|Mike Sweatman||hired as assistant special teams coach and defensive assistant
1985-02-11|Steelers|Hal Hunter||hired as offensive line coach
1985-02-12|Bills|Kay Dalton||hired as quarterbacks coach
1985-02-12|Browns|Richard Mann||hired as receivers coach
1985-02-15|Patriots|Ed Khayat / Eddie Khayat||hired as defensive line coach
1985-02-16|Dolphins|Mel Phillips||hired as defensive backs coach
1985-02-18|Broncos|Dan Reeves||hired as VP (in addition to head coach)
1985-02-19|Bills|Elijah Pitts||hired as running back coach
1985-02-20|Buccaneers|Larry Seiple||hired as wide receivers coach
1985-02-21|Bills|Richard Moseley / Dick Moseley||hired as defensive backs coach
1985-04-27|Patriots||seventh round pick (?-?)|commissioner Pete Rozelle ordered Patriots to give seventh round pick to Raiders as compensation for scout John Polonchek; ruled Patriots coach Raymond Berry / Ray Berry tampered by contacting Polonchek, now Patriots special assistant, late in 1984
1985-04-27|Raiders|seventh round pick (?-?)||commissioner Pete Rozelle ordered Patriots to give seventh round pick to Raiders as compensation for scout John Polonchek; ruled Patriots coach Raymond Berry / Ray Berry tampered by contacting Polonchek, now Patriots special assistant, late in 1984
1985-04-29|Giants|Bill Parcells||re-signed as head coach to a multi-year contract extension
1985-07-29|Bills|Dick Jauron||hired as secondary coach
1985-08-01|Cowboys|Drew Pearson||hired as receivers coach for preseason
1985-09-13|Broncos|Dan Reeves||re-signed as head coach to a contract extension through 1989
1985-10-01|Bills||Kay Stephenson|fired as head coach
1985-10-01|Bills|Hank Bullough||promoted to head coach
1985-10-08|Buccaneers||John McKay|resigned as head coach
1985-10-30|Cardinals|Harry Gilmer||hired as assistant quarterbacks coach (in addition to personnel scout)
1985-11-25|Saints||O.A. Phillips / Bum Phillips|resigned as head coach
1985-11-25|Saints|Wade Phillips||hired as interim head coach
1985-12-09|Oilers||Hugh Campbell|fired as head coach
1985-12-09|Oilers|Jerry Glanville||promoted to interim head coach
1985-12-16|Eagles||Marion Campbell|fired as head coach
1985-12-16|Eagles|Fred Bruney||hired as interim head coach
1985-12-23|Chargers|Don Coryell||re-signed as head coach to a contract extension through 1987
1985-12-23|Chargers|Al Saunders||promoted from receivers coach to assistant head coach
1985-12-30|Chargers||Marv Braden|fired as special teams coach
1986-01-02|Oilers||Al Roberts|fired as assistant coach
1986-01-02|Oilers||Bob Padilla|fired as assistant coach
1986-01-02|Oilers||Bruce Lemmerman|fired as assistant coach
1986-01-02|Oilers||Gene Gaines|fired as assistant coach
1986-01-02|Oilers||Joe Faragalli|fired as assistant coach
1986-01-02|Oilers||John Devlin|fired as assistant coach
1986-01-02|Oilers||Ken Houston / Kenny Houston|fired as assistant coach
1986-01-06|Vikings||Harry Grant / Bud Grant|retired as head coach
1986-01-07|Vikings|Jerry Burns||promoted to head coach
1986-01-20|Oilers|Jerry Glanville||hired as head coach to a 5-year contract
1986-01-22|Dolphins||Art Asselta|fired as assistant coach
1986-01-22|Dolphins||Kay Dalton|fired as assistant coach
1986-01-22|Dolphins|Dan Sekanovich||hired as defensive line coach
1986-01-22|Saints||Wade Phillips|fired as interim head coach
1986-01-28|Saints|Jim Mora Sr.||hired as head coach
1986-01-29|Eagles|Buddy Ryan||hired as head coach
1986-02-01|Cardinals||Jim Hanifan|fired as head coach (date approximate)
1986-02-01|Cardinals|Gene Stallings||hired as head coach (date approximate)
1986-02-03|Eagles|Doug Scovil||hired as quarterbacks coach
1986-02-19|Bills|Ted Cottrell||hired as defensive line coach
1986-02-19|Generals (USFL)|Jack Pardee||Houston Gamblers (USFL) sold and merged with New Jersey Generals (USFL), Pardee became head coach of Generals (USFL)
1986-05-06|Outlaws (USFL)|Fred Biletnikoff||hired as receivers coach
1986-10-29|Chargers||Don Coryell|resigned as head coach
1986-10-29|Chargers|Al Saunders||promoted to head coach
1986-11-03|Bills||Hank Bullough|fired as head coach
1986-11-03|Bills|Marv Levy||hired as head coach
1986-12-01|Colts||Rod Dowhower|fired as head coach
1986-12-01|Colts|Ron Meyer||hired as head coach
1986-12-15|Bills||Joe Faragalli|resigned as assistant coach
1986-12-31|Eagles||Ken Iman|fired as offensive line coach
1987-01-06|Chargers|Al Saunders||re-signed as head coach to a 5-year contract
1987-01-06|Oilers||Gary Huff|fired as quarterbacks coach
1987-01-06|Oilers||Bill Walsh|fired as offensive line coach
1987-01-07|Chiefs||Frank Gansz|resigned as assistant head coach / special teams coach
1987-01-08|Chiefs||John Mackovic|fired as head coach
1987-01-10|Chiefs|Frank Gansz||hired as head coach
1987-01-12|Chargers||Earnel Durden|fired as receivers coach
1987-01-12|Chargers||Hank Bauer|fired as special teams coach
1987-01-12|Chargers|Charlie Joiner||hired as receivers coach
1987-01-13|Cowboys||Jim Myers|retired as offensive line coach (date approximate)
1987-01-13|Cowboys|Jim Erkenbeck||hired as offensive line coach
1987-01-14|Chargers|Bobby Jackson||hired as running backs coach
1987-01-14|Chiefs|Billie Mathews||hired as backfield coach
1987-01-14|Chiefs|Don Lawrence||hired as defensive line coach
1987-01-14|Chiefs|Ed Beckman||hired as special teams coach
1987-01-20|Dolphins||Bob Matheson|resigned as linebackers coach
1987-01-20|Dolphins||Chuck Studley|demoted to linebackers coach
1987-01-22|Packers||John Hinton|fired as running backs & special teams coach
1987-01-27|Bengals|Mike Stock||hired as special teams coach
1987-01-27|Rams||Lew Erber|fired as wide receivers coach
1987-01-27|Rams|Gil Haskell||re-assigned to running backs coach
1987-01-27|Rams|Artie Gigantino||hired as special teams coach
1987-01-28|Chargers|Wayne Sevier||hired as special teams coach
1987-01-28|Eagles|Bill Walsh (b)||hired as offensive line coach
1987-02-03|Falcons|Marion Campbell||hired as head coach
1987-02-05|Falcons|Jim Hanifan||hired as assistant head coach / offense
1987-02-06|Falcons|Jimmy Raye||hired as wide receivers coach
1987-02-06|Falcons|Steve Crosby||hired as running backs coach
1987-02-09|Falcons|Tim Jorgensen||hired as strength & conditioning coach
1987-02-10|Falcons|Claude Humphrey||hired as assistant defensive coach
1987-02-10|Saints|Paul Boudreau Sr.||hired as offensive line coach
1987-02-12|49ers|Fred von Appen||hired as defensive line coach
1987-02-12|49ers|Bill McPherson||hired as linebackers coach
1987-02-12|49ers|Lynn Stiles||hired as special teams coach
1987-02-19|Browns|Kurt Schottenheimer||hired as special teams coach
1987-02-19|Steelers|Jon Kolb||re-assigned to special teams coach
1987-02-19|Steelers|Dennis Fitzgerald||re-assigned to special teams coach
1987-02-19|Steelers|Joe Greene (a)||hired as defensive line coach
1987-02-20|Oilers|Bob Young||hired as offensive line coach
1987-03-03|Lions|Vic Rapp||hired as running backs coach
1987-03-03|Lions|Lew Carpenter||hired as wide receivers coach
1987-05-04|Colts|Leon Burtnett||hired as running backs coach
1987-05-08|Packers|Burt Gustafson||hired as administrative assistant to head coach
1987-12-29|Bengals|Sam Wyche||re-signed as head coach to a 1-year contract
1988-01-15|Packers||Forrest Gregg|resigned as head coach
1988-01-18|Chargers|Ed White (b)||re-signed as assistant coach
1988-01-18|Oilers||Dick Jamieson|fired as running backs coach
1988-01-18|Oilers||Miller McCalmon|fired as tight ends & special teams coach
1988-01-18|Oilers||Tom Bettis|fired as secondary coach
1988-01-25|Chiefs|Tom Bettis||hired as defensive backfield coach
1988-01-28|Giants||Pat Hodgson|fired as wide receivers coach
1988-01-28|Giants|Tom Coughlin||hired as wide receivers coach
1988-02-03|Packers|Lindy Infante||hired as head coach to a 5-year contract
1988-02-10|Falcons|Serafino Fazio / Foge Fazio||hired as special teams coach & tight ends coach
1988-02-10|Packers|Hank Bullough||hired as defensive coordinator and linebackers coach
1988-02-11|Lions|Dick Modzelewski||hired as defensive line coach
1988-02-16|Packers|Buddy Geis||hired as receivers coach
1988-02-16|Packers|Charlie Davis||hired as offensive line coach
1988-02-19|Giants|Bill Parcells||re-signed as head coach to a multi-year contract extension
1988-02-24|Broncos|Charlie Waters||hired as defensive secondary coach
1988-02-24|Browns|Marc Trestman||hired as quarterbacks coach
1988-02-24|Packers|Howard Tippett||hired as special teams coach
1988-02-24|Packers|Richard Moseley / Dick Moseley||hired as outside linebackers coach
1988-02-29|Dolphins|Larry Seiple||hired as receivers coach
1988-03-07|Broncos|Pete Mangurian||hired as offensive line coach
1988-03-11|Broncos|George Henshaw||hired as offensive line coach
1988-03-18|49ers||Bill Walsh (a)|replaced as president (remained as head coach)
1988-03-18|49ers|Bill Walsh (a)||re-signed as head coach to a 2-year contract
1988-03-18|Broncos|Larry Kennan||hired as wide receivers coach
1988-06-13|Vikings|Jerry Brown||hired as offensive assistant coach
1988-07-14|Jets|Frank Falks||hired as coaching intern
1988-07-14|Jets|Rod Perry||hired as coaching intern
1988-07-14|Packers|Joe Clark||hired as assistant offensive coach
1988-08-23|Patriots|Guy Morriss||hired as assistant offensive line coach
1988-11-14|Lions||Darryl Rogers|fired as head coach
1988-11-16|Lions|Wayne Fontes||promoted to interim head coach
1988-11-29|Lions|Lynn Dickey||hired as quarterbacks coach for the remainder of the season
1988-11-30|Lions|Darrel Davis / Mouse Davis||hired as offensive coach
1988-12-07|Jets|Joe Walton||re-signed as head coach to a contract extension through 1990
1988-12-19|Chargers||Al Saunders|fired as head coach
1988-12-27|Browns||Marty Schottenheimer|resigned as head coach
1989-01-05|Chiefs||Frank Gansz|fired as head coach
1989-01-07|Steelers||Jed Hughes|fired (as assistant coach?) (date approximate)
1989-01-09|Patriots|Guy Morriss||promoted to offensive line coach
1989-01-09|Raiders||Earl Leggett|resigned as defensive line coach
1989-01-18|Lions|Frank Gansz||hired as special teams coach
1989-01-18|Raiders||Nick Nicolau|fired as wide receivers coach
1989-01-19|Patriots|Dick Wood||hired as quarterbacks coach
1989-01-19|Patriots|Keith Rowen||hired as special teams coach
1989-01-24|Chiefs|Marty Schottenheimer||hired as head coach
1989-01-25|Dolphins|Dave Wannstedt||hired as linebackers coach
1989-01-25|Oilers||Milt Jackson|resigned as wide receivers coach
1989-01-30|Lions|Charlie Sanders||hired as tight ends coach
1989-01-30|Oilers||June Jones|resigned as quarterbacks coach (date approximate)
1989-01-31|Eagles|Tom Bettis||hired as defensive backfield coach
1989-01-31|Lions|Darrel Davis / Mouse Davis||re-signed as quarterbacks coach
1989-01-31|Lions|Dave Levy||hired as running backs coach
1989-02-01|Colts|Bill Muir||hired as defensive line coach
1989-02-01|Colts|Milt Jackson||hired as receivers coach
1989-02-01|Cowboys|Dave Campo||hired as assistant coach (date approximate)
1989-02-01|Cowboys|John Davis (b) / Butch Davis||hired as defensive line coach (date approximate)
1989-02-03|Browns|George Sefcik||hired as running backs coach
1989-02-03|Browns|John Teerlinck||hired as defensive line coach
1989-02-03|Chiefs|Howard Mudd||hired as offensive line coach
1989-02-03|Chiefs|Joe Pendry||hired as quarterbacks coach
1989-02-07|Browns|Jed Hughes||hired as assistant coach
1989-02-08|Browns||Dave Redding|resigned as strength & conditioning coach
1989-02-08|Chiefs|Dave Redding||hired as strength & conditioning coach
1989-02-08|Jets||Dan Radakovich|resigned as offensive line coach
1989-02-08|Jets|Rod Humenuik||hired as offensive line coach
1989-02-09|Bills|Tom Bresnahan||hired as offensive line coach
1989-02-09|Chargers|Dan Henning||hired as head coach
1989-02-09|Steelers|Dave Brazil||hired as linebackers coach
1989-02-10|Chiefs|Tony Dungy||hired as defensive backs coach
1989-02-10|Steelers|John Fox||hired as defensive backs coach
1989-02-14|49ers|John Marshall||hired as linebackers coach
1989-02-14|Chargers|Ted Tollner||hired as receivers coach
1989-02-14|Colts|Brad Seely||hired as special teams coach
1989-02-15|Browns|Dan Radakovich||hired as defensive coordinator & linebackers coach
1989-02-15|Browns|Hal Hunter||hired as offensive line coach
1989-02-15|Cowboys|George Hill||hired as assistant coach (date approximate)
1989-02-20|Buccaneers|John Bobo||promoted to offensive line coach
1989-02-20|Chiefs|Bruce Arians||hired as running backs coach
1989-02-20|Giants|Al Groh||hired as linebackers coach
1989-02-21|Browns|Lionel Taylor||hired as special offensive assistant and tight ends coach
1989-02-21|Chiefs|Al Saunders||hired as receivers coach
1989-02-22|Oilers|Kevin Gilbride Sr.||hired as quarterbacks coach
1989-02-23|Bills|Nick Nicolau||hired as receivers coach
1989-02-25|Cardinals|Mike Solari||hired as offensive line coach
1989-03-01|Cowboys||George Hill|resigned as assistant coach (date approximate)
1989-03-01|Dolphins||David Shula|resigned as assistant head coach (date approximate)
1989-03-01|Dolphins|George Hill||hired as linebackers coach
1989-03-01|Dolphins|John Sandusky||promoted to assistant head coach
1989-03-01|Raiders|Jack Stanton||hired as defensive backfield coach
1989-03-03|Cowboys|Jerry Rhome||hired as quarterbacks coach
1989-03-03|Steelers|George Stewart||hired as special teams coach
1989-03-14|49ers||Fred von Appen|resigned as defensive line coach
1989-03-30|49ers|Bob Zeman||hired as linebackers coach
1989-05-30|Broncos|Dan Reeves||re-signed as head coach to a contract extension through 1992
1989-12-09|Eagles||Doug Scovil|quarterbacks coach died
1989-12-26|Jets||Joe Walton|fired as head coach
1990-01-06|Oilers||Jerry Glanville|stepped down as head coach by mutual agreement
1990-01-09|Oilers|Jack Pardee||hired as head coach
1990-01-12|Oilers|Bob Young||hired as offensive line coach
1990-01-12|Oilers|Pat Thomas (S.)||hired as defensive backs coach
1990-01-16|Packers|Lindy Infante||re-signed as head coach to a 2-year contract extension through 1994 season
1990-01-19|Cowboys||Bob Ward|fired as conditioning coach
1990-01-19|Dolphins|Don Shula||re-signed as head coach to a 3-year contract
1990-01-19|Falcons|Floyd Reese||hired as assistant head coach
1990-01-22|Buccaneers|Tommy Brasher||hired as defensive line coach
1990-01-22|Buccaneers|Fred Bruney||hired as assistant head coach & defensive coordinator
1990-01-23|Oilers|Jim Stanley||hired as defensive line coach
1990-02-01|Jets|Serafino Fazio / Foge Fazio||hired as linebackers coach (date approximate)
1990-02-02|Redskins|Rod Dowhower||hired as assistant coach in charge of passing game
1990-02-06|Jets|Bruce Coslet||hired as head coach
1990-02-07|Cardinals|Joe Bugel||hired as head coach
1990-02-07|Falcons|Tom Rossley||hired as assistant coach
1990-02-07|Jets|Serafino Fazio / Foge Fazio||hired as special teams coach
1990-02-07|Jets|Phil Myers / Chip Myers||hired as receivers coach
1990-02-09|Browns||Jed Hughes|resigned as defensive backfield coach
1990-02-09|Redskins|Jim Hanifan||hired as offensive line coach
1990-02-10|Browns|Jim Vechiarella||hired as linebackers coach
1990-02-10|Cardinals|Joe Pascale||re-signed as assistant coach
1990-02-10|Cardinals|Jim Johnson||re-signed as assistant coach
1990-02-10|Falcons|Bill Kollar||hired as special teams coach
1990-02-10|Falcons|Tim Jorgensen||re-signed as strength & conditioning coach
1990-02-10|Raiders|Steve Ortmayer||hired as special teams coach and director of football operations
1990-02-12|Bears|Zaven Yaralian||hired as defensive backfield coach
1990-02-14|Cardinals|Bobby Hammond||hired as running backs coach
1990-02-14|Jets|Larry Beightol||hired as offensive line coach
1990-02-14|Jets|Monte Kiffin||hired as linebackers coach
1990-02-15|Cardinals|Pete Rodriguez||hired as special teams coach
1990-02-15|Vikings||Monte Kiffin|resigned as linebackers coach
1990-02-16|Jets|Kippy Brown||hired as running backs coach
1990-02-16|Steelers|Joe Walton||hired as assistant coach
1990-02-19|Browns|Zeke Bratkowski||hired as quarterbacks coach
1990-02-19|Jets|Greg Robinson||hired as defensive assistant coach
1990-02-21|Cowboys|Mike Woicik||hired as strength coach
1990-02-22|Bills||Ted Cottrell|resigned as defensive line coach
1990-02-22|Cardinals|Jim Johnson||assigned to defensive secondary coach
1990-02-22|Cardinals|Ted Cottrell||hired as defensive line coach
1990-02-22|Cowboys||Neill Armstrong|retired as quality control coach (effective 05-01)
1990-02-22|Cowboys|Joe Avezzano||hired as special teams coach
